type,ICF,age_moy,Effectifs
taux_csp12_actifs,1.421552797920462,32.85859302656685,3648
taux_csp12_chom,1.3692850697996337,31.90568232732495,329
taux_csp34_actifs,1.4237750027889966,33.22441746514374,48837
taux_csp34_chom,1.868830385105176,32.64855937292021,4557
taux_csp56_actifs,1.2850617004974172,31.909269817442905,43260
taux_csp56_chom,1.6429458574124338,31.162712663358516,10613
taux_csp8_autres,2.7420812276350555,32.6458388143493,49538
taux_csp8_chom,2.0667346791988757,31.604564748154285,2686
